id,node,batchsize,delay,tx,send,round
15,16,5000,2.0411808490753174,40000,280,1
15,16,5000,1.5269508361816406,60000,230,2
15,16,5000,1.7391562461853027,80000,280,3
15,16,5000,3.2659614086151123,100000,240,4
15,16,5000,2.499011993408203,120000,240,5
15,16,5000,3.127706527709961,140000,300,6
11,16,5000,1.3914997577667236,20000,270,0
11,16,5000,2.3038675785064697,40000,280,1
11,16,5000,1.6631977558135986,60000,230,2
11,16,5000,2.4056406021118164,80000,290,3
11,16,5000,1.700958490371704,100000,230,4
11,16,5000,2.294724225997925,115000,240,5
11,16,5000,2.0807759761810303,130000,300,6
10,16,5000,1.5395424365997314,20000,270,0
10,16,5000,2.3517441749572754,40000,280,1
10,16,5000,2.52978515625,60000,270,2
10,16,5000,2.531873941421509,80000,320,3
10,16,5000,1.6997065544128418,100000,250,4
10,16,5000,2.2158775329589844,115000,230,5
10,16,5000,2.503676652908325,130000,310,6
2,16,5000,1.646158218383789,20000,244,0
2,16,5000,2.2748420238494873,40000,316,1
2,16,5000,2.3549087047576904,60000,220,2
2,16,5000,2.6989850997924805,80000,268,3
2,16,5000,1.6843822002410889,100000,208,4
2,16,5000,2.9886231422424316,120000,328,5
2,16,5000,2.2051773071289062,140000,292,6
13,16,5000,1.8005890846252441,20000,244,0
13,16,5000,2.220937728881836,40000,292,1
13,16,5000,2.1550917625427246,60000,232,2
13,16,5000,2.3365771770477295,80000,268,3
13,16,5000,2.3223042488098145,100000,316,4
13,16,5000,2.40533709526062,120000,256,5
13,16,5000,2.6318717002868652,140000,316,6
14,16,5000,1.40187668800354,20000,280,0
14,16,5000,2.063000202178955,40000,270,1
14,16,5000,1.5267572402954102,60000,270,2
14,16,5000,2.299736976623535,80000,310,3
14,16,5000,2.328407049179077,100000,260,4
14,16,5000,2.4597160816192627,120000,230,5
14,16,5000,2.7328882217407227,140000,310,6
9,16,5000,1.952538251876831,20000,256,0
9,16,5000,2.430147886276245,40000,304,1
9,16,5000,1.8235623836517334,60000,268,2
9,16,5000,2.765949249267578,80000,304,3
9,16,5000,1.8736228942871094,100000,244,4
9,16,5000,2.4600982666015625,115000,256,5
9,16,5000,2.0440080165863037,130000,292,6
8,16,5000,1.9004032611846924,20000,230,0
8,16,5000,2.3335888385772705,40000,310,1
8,16,5000,1.607313871383667,60000,250,2
8,16,5000,2.7543952465057373,80000,260,3
8,16,5000,1.6718261241912842,100000,200,4
8,16,5000,2.408704996109009,115000,360,5
8,16,5000,2.926138162612915,130000,250,6
4,16,5000,1.7960517406463623,20000,250,0
4,16,5000,2.1754560470581055,40000,290,1
4,16,5000,1.1841843128204346,60000,210,2
4,16,5000,2.030029773712158,80000,270,3
4,16,5000,2.407052993774414,100000,340,4
4,16,5000,1.8231215476989746,120000,250,5
4,16,5000,2.4622604846954346,140000,310,6
5,16,5000,1.6190392971038818,20000,250,0
5,16,5000,2.1282100677490234,40000,290,1
5,16,5000,1.1357572078704834,60000,210,2
5,16,5000,2.0263233184814453,80000,270,3
5,16,5000,2.551486015319824,100000,350,4
5,16,5000,1.844750165939331,120000,240,5
5,16,5000,2.694446086883545,140000,310,6
20,32,1000,1.3351261615753174,4000,260,0
20,32,1000,1.2766125202178955,8000,230,1
20,32,1000,1.9953908920288086,12000,260,2
20,32,1000,1.3532145023345947,16000,240,3
20,32,1000,1.8431544303894043,20000,320,4
20,32,1000,1.6155097484588623,24000,300,5
20,32,1000,2.139545202255249,28000,280,6
7,32,1000,1.5520212650299072,4000,232,0
7,32,1000,2.202946424484253,8000,220,1
7,32,1000,0.9533276557922363,12000,352,2
7,32,1000,1.9367156028747559,16000,352,3
7,32,1000,1.9865334033966064,20000,280,4
7,32,1000,1.4577813148498535,24000,256,5
7,32,1000,2.026732921600342,28000,208,6
30,32,1000,1.3591411113739014,4000,250,0
30,32,1000,1.4535455703735352,8000,300,1
30,32,1000,2.4428327083587646,12000,220,2
30,32,1000,1.9712941646575928,16000,320,3
30,32,1000,2.3252241611480713,20000,160,4
30,32,1000,1.2690420150756836,24000,310,5
30,32,1000,1.6468093395233154,28000,290,6
12,32,1000,1.3816661834716797,4000,240,0
12,32,1000,1.934772253036499,8000,300,1
12,32,1000,1.457561731338501,12000,230,2
12,32,1000,1.393369436264038,16000,320,3
12,32,1000,1.9028229713439941,20000,160,4
12,32,1000,2.158372640609741,24000,310,5
12,32,1000,2.0400047302246094,28000,300,6
28,32,1000,1.7988433837890625,4000,240,0
28,32,1000,1.4376816749572754,8000,280,1
28,32,1000,2.470719575881958,12000,260,2
28,32,1000,1.8985774517059326,16000,240,3
28,32,1000,2.3120932579040527,20000,320,4
28,32,1000,1.3092679977416992,24000,270,5
28,32,1000,1.7301018238067627,28000,310,6
25,32,1000,1.378251552581787,4000,292,0
25,32,1000,1.3150956630706787,8000,268,1
25,32,1000,1.6851727962493896,12000,244,2
25,32,1000,1.7182302474975586,16000,244,3
25,32,1000,1.5849814414978027,20000,256,4
25,32,1000,2.373513698577881,24000,244,5
25,32,1000,1.885270118713379,28000,304,6
23,32,1000,1.640204668045044,4000,260,0
23,32,1000,1.3977551460266113,8000,290,1
23,32,1000,2.125579357147217,12000,290,2
23,32,1000,1.385800838470459,16000,290,3
23,32,1000,1.7995109558105469,20000,260,4
23,32,1000,1.6123809814453125,24000,210,5
23,32,1000,2.224013090133667,28000,330,6
26,32,1000,2.0313825607299805,4000,290,0
26,32,1000,1.3740191459655762,8000,270,1
